Threshold,Persistence,Cooldown,Warning_Window,Warnings,TP,FP,FN,Precision,Recall,F1
0.6,60,30,30,5,3,2,1,0.6,0.75,0.6667
0.6,60,30,35,5,3,2,1,0.6,0.75,0.6667
0.6,60,30,40,5,3,2,1,0.6,0.75,0.6667
0.6,60,45,30,5,3,2,1,0.6,0.75,0.6667
0.6,60,45,35,5,3,2,1,0.6,0.75,0.6667
0.6,60,45,40,5,3,2,1,0.6,0.75,0.6667
0.6,60,60,30,5,3,2,1,0.6,0.75,0.6667
0.6,60,60,35,5,3,2,1,0.6,0.75,0.6667
0.6,60,60,40,5,3,2,1,0.6,0.75,0.6667
0.65,60,30,30,5,3,2,1,0.6,0.75,0.6667
0.65,60,30,35,5,3,2,1,0.6,0.75,0.6667
0.65,60,30,40,5,3,2,1,0.6,0.75,0.6667
0.65,60,45,30,5,3,2,1,0.6,0.75,0.6667
0.65,60,45,35,5,3,2,1,0.6,0.75,0.6667
0.65,60,45,40,5,3,2,1,0.6,0.75,0.6667
0.65,60,60,30,5,3,2,1,0.6,0.75,0.6667
0.65,60,60,35,5,3,2,1,0.6,0.75,0.6667
0.65,60,60,40,5,3,2,1,0.6,0.75,0.6667
0.65,30,60,30,9,4,5,0,0.4444,1.0,0.6154
0.65,30,60,35,9,4,5,0,0.4444,1.0,0.6154
0.65,30,60,40,9,4,5,0,0.4444,1.0,0.6154
0.7,30,60,30,6,3,3,1,0.5,0.75,0.6
0.7,30,60,35,6,3,3,1,0.5,0.75,0.6
0.7,30,60,40,6,3,3,1,0.5,0.75,0.6
0.65,30,30,30,10,4,6,0,0.4,1.0,0.5714
0.65,30,30,35,10,4,6,0,0.4,1.0,0.5714
0.65,30,30,40,10,4,6,0,0.4,1.0,0.5714
0.65,30,45,30,10,4,6,0,0.4,1.0,0.5714
0.65,30,45,35,10,4,6,0,0.4,1.0,0.5714
0.65,30,45,40,10,4,6,0,0.4,1.0,0.5714
0.7,30,30,30,7,3,4,1,0.4286,0.75,0.5455
0.7,30,30,35,7,3,4,1,0.4286,0.75,0.5455
0.7,30,30,40,7,3,4,1,0.4286,0.75,0.5455
0.7,30,45,30,7,3,4,1,0.4286,0.75,0.5455
0.7,30,45,35,7,3,4,1,0.4286,0.75,0.5455
0.7,30,45,40,7,3,4,1,0.4286,0.75,0.5455
0.6,30,60,35,12,4,8,0,0.3333,1.0,0.5
0.6,30,60,40,12,4,8,0,0.3333,1.0,0.5
0.7,60,30,30,4,2,2,2,0.5,0.5,0.5
0.7,60,30,35,4,2,2,2,0.5,0.5,0.5
0.7,60,30,40,4,2,2,2,0.5,0.5,0.5
0.7,60,45,30,4,2,2,2,0.5,0.5,0.5
0.7,60,45,35,4,2,2,2,0.5,0.5,0.5
0.7,60,45,40,4,2,2,2,0.5,0.5,0.5
0.7,60,60,30,4,2,2,2,0.5,0.5,0.5
0.7,60,60,35,4,2,2,2,0.5,0.5,0.5
0.7,60,60,40,4,2,2,2,0.5,0.5,0.5
0.6,30,30,35,14,4,9,0,0.3077,1.0,0.4706
0.6,30,30,40,14,4,9,0,0.3077,1.0,0.4706
0.6,30,45,35,13,4,9,0,0.3077,1.0,0.4706
0.6,30,45,40,13,4,9,0,0.3077,1.0,0.4706
0.55,60,60,30,9,3,6,1,0.3333,0.75,0.4615
0.55,60,60,35,9,3,6,1,0.3333,0.75,0.4615
0.55,60,60,40,9,3,6,1,0.3333,0.75,0.4615
0.6,30,30,30,14,4,10,0,0.2857,1.0,0.4444
0.55,60,45,30,10,3,7,1,0.3,0.75,0.4286
0.55,60,45,35,10,3,7,1,0.3,0.75,0.4286
0.55,60,45,40,10,3,7,1,0.3,0.75,0.4286
0.5,60,45,30,15,4,11,0,0.2667,1.0,0.4211
0.5,60,45,35,15,4,11,0,0.2667,1.0,0.4211
0.5,60,45,40,15,4,11,0,0.2667,1.0,0.4211
0.55,30,45,30,16,4,12,0,0.25,1.0,0.4
0.55,30,45,35,16,4,12,0,0.25,1.0,0.4
0.55,30,45,40,16,4,12,0,0.25,1.0,0.4
0.55,60,30,30,11,3,8,1,0.2727,0.75,0.4
0.55,60,30,35,11,3,8,1,0.2727,0.75,0.4
0.55,60,30,40,11,3,8,1,0.2727,0.75,0.4
0.5,60,30,30,17,4,13,0,0.2353,1.0,0.381
0.5,60,30,35,17,4,13,0,0.2353,1.0,0.381
0.5,60,30,40,17,4,13,0,0.2353,1.0,0.381
0.55,30,30,30,17,4,13,0,0.2353,1.0,0.381
0.55,30,30,35,17,4,13,0,0.2353,1.0,0.381
0.55,30,30,40,17,4,13,0,0.2353,1.0,0.381
0.6,30,60,30,12,3,9,1,0.25,0.75,0.375
0.5,30,60,30,18,4,14,0,0.2222,1.0,0.3636
0.5,30,60,35,18,4,14,0,0.2222,1.0,0.3636
0.5,30,60,40,18,4,14,0,0.2222,1.0,0.3636
0.5,60,60,30,13,3,10,1,0.2308,0.75,0.3529
0.5,60,60,35,13,3,10,1,0.2308,0.75,0.3529
0.5,60,60,40,13,3,10,1,0.2308,0.75,0.3529
0.6,30,45,30,13,3,10,1,0.2308,0.75,0.3529
0.5,30,45,30,19,4,15,0,0.2105,1.0,0.3478
0.5,30,45,35,19,4,15,0,0.2105,1.0,0.3478
0.5,30,45,40,19,4,15,0,0.2105,1.0,0.3478
0.55,30,60,30,15,3,12,1,0.2,0.75,0.3158
0.55,30,60,35,15,3,12,1,0.2,0.75,0.3158
0.55,30,60,40,15,3,12,1,0.2,0.75,0.3158
0.5,30,30,35,23,4,19,0,0.1739,1.0,0.2963
0.5,30,30,40,23,4,19,0,0.1739,1.0,0.2963
0.5,30,30,30,23,3,20,1,0.1304,0.75,0.2222
